Disease,Hospital_Type,Hospital_Name,Cost,City,Address,Contact
Skin Disease,Govt,Primary Health Centre Dharmasthala,3500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Ear Infection,Govt,Community Health Centre Sullia,3500,Sullia,Sullia Town - 574239,08257-233100
Tuberculosis,Private,Sharada Hospital Puttur,16500,Puttur,Puttur - 574201,08251-231400
Asthma,Private,Shanthi Hospital Kadaba,15000,Kadaba,Kadaba Town - 574221,08257-265700
Malaria,Private,Sai Sanjeevini Hospital Gurupura,12000,Gurupura,Gurupura - 575016,0824-2284300
Diabetes,Private,Srinivas Hospital Surathkal,13000,Surathkal,"Surathkal Main Road, Mangaluru - 575014",0824-2474500
Ear Infection,Govt,Primary Health Centre Vittal,2000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Tuberculosis,Private,Narayana Hospital Panambur,29000,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Tuberculosis,Govt,Government Hospital Venur,5000,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Pneumonia,Private,Durgaparameshwari Hospital Subramanya,25500,Subramanya,Subramanya - 574238,08257-258300
Ear Infection,Govt,Community Health Centre Gurupura,3000,Gurupura,Gurupura - 575016,0824-2284100
Asthma,Private,Durgaparameshwari Hospital Kateel,19500,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Liver Disease,Private,Shanthi Hospital Kadaba,84500,Kadaba,Kadaba Town - 574221,08257-265700
Malaria,Private,Karavali Hospital Mulki,11500,Mulki,"NH 66, Mulki - 574154",0824-2296400
Appendicitis,Private,Kalanjali Hospital Vittal,66500,Vittal,Vittal - 574243,08255-231500
Pregnancy,Govt,Government Dispensary Bellare,19000,Bellare,Bellare Town - 574212,08257-261100
Pregnancy,Private,Mahatma Gandhi Memorial Hospital Belthangady,57500,Belthangady,Belthangady Main Road - 574214,08256-230500
Appendicitis,Private,Sharada Hospital Puttur,60000,Puttur,Puttur - 574201,08251-231400
Thyroid Disorder,Govt,Primary Health Centre Vittal,4000,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Ear Infection,Govt,Primary Health Centre Dharmasthala,2500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Gastroenteritis,Govt,Taluk Hospital Moodabidri,6500,Moodabidri,"Hospital Road, Moodabidri - 574227",0824-2386011
Fever,Govt,Community Health Centre Gurupura,1500,Gurupura,Gurupura - 575016,0824-2284100
Heart Disease,Govt,Primary Health Centre Panambur,91000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Hypertension,Govt,Government Hospital Vittal,5000,Vittal,"Main Road, Vittal - 574243",08255-231100
Gastroenteritis,Private,Shanthi Hospital Kadaba,15500,Kadaba,Kadaba Town - 574221,08257-265700
Liver Disease,Govt,Government Hospital Ullal,24000,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
Liver Disease,Private,Nanthoor Community Hospital,80500,Nanthoor,Nanthoor - 574219,08255-239300
Kidney Stone,Private,Nethravathi Medical Centre Bellare,42500,Bellare,Bellare - 574212,08257-261300
Liver Disease,Private,Srinivasa Hospital Kateel,63500,Kateel,Kateel - 574272,0824-2298400
Thyroid Disorder,Private,Srinivasa Hospital Panambur,16000,Panambur,"Panambur Road, Mangaluru - 575010",0824-2408200
Skin Disease,Private,Durgaparameshwari Hospital Kateel,6500,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Skin Disease,Govt,Primary Health Centre Gurupura,2500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Surgery,Private,Venur Hospital,83500,Venur,"Main Road, Venur - 574237",08256-262200
Asthma,Private,Shri Dharmasthala Manjunatheshwara Hospital Dharmasthala,18500,Belthangady,Dharmasthala - 574216,08256-277222
Fracture,Govt,Government Hospital Mulki,14500,Mulki,"Town Road, Mulki - 574154",0824-2296022
Surgery,Govt,Government Dispensary Bellare,51500,Bellare,Bellare Town - 574212,08257-261100
Heart Disease,Private,Vinayaka Hospital Sullia,148500,Sullia,Sullia - 574239,08257-234300
Gastroenteritis,Private,Venur Hospital,13000,Venur,"Main Road, Venur - 574237",08256-262200
Pneumonia,Govt,Government Hospital Mulki,9500,Mulki,"Town Road, Mulki - 574154",0824-2296022
Eye Disease,Private,Jain Hospital Moodabidri,39500,Moodabidri,"Temple Road, Moodabidri - 574227",0824-2386700
Surgery,Private,Shanthi Hospital Kadaba,77000,Kadaba,Kadaba Town - 574221,08257-265700
Appendicitis,Private,Karavali Hospital Mulki,53500,Mulki,"NH 66, Mulki - 574154",0824-2296400
Skin Disease,Private,Sahyadri Hospital Vittal,8500,Vittal,"NH 75, Vittal - 574243",08255-231400
Dengue,Private,Kukke Hospital Subramanya,10000,Subramanya,"Main Road, Subramanya - 574238",08257-258200
Ear Infection,Private,Netravathi Hospital Ujire,6000,Ujire,"Main Road, Ujire - 574240",08256-248200
Asthma,Private,Durgaparameshwari Hospital Subramanya,15500,Subramanya,Subramanya - 574238,08257-258300
Ear Infection,Private,Srinivasa Hospital Moodabidri,8500,Moodabidri,Moodabidri Main Road - 574227,0824-2386800
Pneumonia,Private,Karavali Hospital Mulki,18000,Mulki,"NH 66, Mulki - 574154",0824-2296400
Fever,Govt,Taluk Hospital Sullia,1500,Sullia,"Hospital Road, Sullia - 574239",08257-233010
Dengue,Govt,Government Hospital Ujire,5500,Ujire,Ujire Town - 574240,08256-248100
Jaundice,Private,Vittal Hospital,23000,Vittal,Vittal Main Road - 574243,08255-231200
Pneumonia,Govt,Primary Health Centre Bellare,11000,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Surgery,Govt,Government Dispensary Nelyadi,37000,Nelyadi,Nelyadi Town - 574221,08257-265300
Malaria,Govt,Community Health Centre Sullia,6000,Sullia,Sullia Town - 574239,08257-233100
Thyroid Disorder,Private,City Medical Centre Moodabidri,15500,Moodabidri,Moodabidri - 574227,0824-2386900
UTI,Private,Saraswathi Hospital Uppinangady,13000,Uppinangady,Uppinangady - 574241,08251-232500
Surgery,Private,Udupi Hospital Ujire,66500,Ujire,Ujire - 574240,08256-248300
Skin Disease,Govt,Primary Health Centre Panemangalore,2000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Ear Infection,Private,Vittal Hospital,10000,Vittal,Vittal Main Road - 574243,08255-231200
Hypertension,Private,Kateel Medical Centre,19500,Kateel,"Main Road, Kateel - 574272",0824-2298300
Pregnancy,Govt,Community Health Centre Sullia,27000,Sullia,Sullia Town - 574239,08257-233100
Surgery,Private,Narayana Hospital Panambur,69500,Panambur,"Baikampady, Panambur - 575011",0824-2408300
Hypertension,Govt,Community Health Sub-Centre Panemangalore,6000,Panemangalore,Panemangalore - 574236,0824-2239100
Typhoid,Govt,Primary Health Centre Ujire,5000,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
UTI,Govt,Primary Health Centre Kateel,5500,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Ear Infection,Private,Shanthi Hospital Gurupura,7000,Gurupura,Gurupura - 575016,0824-2284400
Liver Disease,Govt,Government Dispensary Nanthoor,36000,Nanthoor,Nanthoor - 574219,08255-239100
Diabetes,Govt,Primary Health Centre Nanthoor,9000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Appendicitis,Private,Kinnigoli Hospital,45500,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Cancer,Govt,Government Hospital Ujire,118000,Ujire,Ujire Town - 574240,08256-248100
Skin Disease,Private,Dawa Hospital Ullal,7500,Ullal,Ullal Town Road - 574146,0824-2279200
Anaemia,Private,Karavali Hospital Mulki,8500,Mulki,"NH 66, Mulki - 574154",0824-2296400
Anaemia,Govt,Government Hospital Surathkal,3500,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Hypertension,Govt,Government Dispensary Bellare,5500,Bellare,Bellare Town - 574212,08257-261100
Diabetes,Govt,Government Hospital Bantwal PHC,7500,Bantwal,"Bantwal Town, DK - 574219",08255-232100
Liver Disease,Private,Sahyadri Medical Centre Venur,61500,Venur,Venur - 574237,08256-262300
Jaundice,Private,Shree Hospital Uppinangady,15500,Uppinangady,Uppinangady - 574241,08251-232300
Asthma,Private,Coastal Hospital Kinnigoli,16500,Kinnigoli,Kinnigoli - 574150,0824-2293400
Cancer,Private,Nelyadi Clinic & Hospital,166500,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Dengue,Private,Coastal Care Hospital Panambur,12500,Panambur,Baikampady Industrial Area - 575011,0824-2408400
UTI,Govt,Primary Health Centre Nanthoor,5500,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Kidney Stone,Govt,Wenlock District Hospital,19000,Mangaluru,"Bibi Alabi Road, Hampankatta, Mangaluru - 575001",0824-2421351
UTI,Govt,Government Dispensary Bellare,3000,Bellare,Bellare Town - 574212,08257-261100
Heart Disease,Govt,Primary Health Centre Ujire,97500,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Appendicitis,Govt,Community Health Centre Vamanapadavu,22500,Bantwal,"Vamanapadavu, Bantwal - 574241",08255-232200
Malaria,Govt,Primary Health Centre Bellare,7000,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Dengue,Govt,Primary Health Centre Nelyadi,6500,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Anaemia,Private,Coastal Nursing Home Panemangalore,12000,Panemangalore,Panemangalore - 574236,0824-2239400
Eye Disease,Private,Sri Sai Hospital Nanthoor,16000,Nanthoor,Nanthoor - 574219,08255-239400
Tuberculosis,Private,Srinivasa Hospital Kadaba,24500,Kadaba,"Main Road, Kadaba - 574221",08257-265500
Ear Infection,Govt,Primary Health Centre Nelyadi,3000,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Asthma,Govt,Government Dispensary Moodabidri,10500,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Fracture,Govt,Primary Health Centre Vittal,14500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Skin Disease,Private,Shridhar Hospital Mulki,6000,Mulki,Mulki Junction - 574154,0824-2296300
Eye Disease,Govt,Community Health Centre Puttur,7500,Puttur,Puttur Town - 574201,08251-230300
Pneumonia,Govt,Government Hospital Kukke Subramanya,11500,Subramanya,Subramanya Town - 574238,08257-258011
Fever,Govt,Primary Health Centre Paladka,1500,Mulki,"Paladka, Mulki - 574154",0824-2296100
Typhoid,Private,Srinivasa Hospital Kadaba,8500,Kadaba,"Main Road, Kadaba - 574221",08257-265500
Thyroid Disorder,Govt,Taluk Hospital Moodabidri,5000,Moodabidri,"Hospital Road, Moodabidri - 574227",0824-2386011
Liver Disease,Govt,Government Hospital Mulki,29500,Mulki,"Town Road, Mulki - 574154",0824-2296022
Jaundice,Govt,Government Hospital Venur,9500,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Gastroenteritis,Govt,Government Hospital Kukke Subramanya,3000,Subramanya,Subramanya Town - 574238,08257-258011
Pneumonia,Private,Kinnigoli Hospital,30000,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Gastroenteritis,Govt,Government Hospital Venur,4000,Venur,"Venur, Belthangady Taluk - 574237",08256-262011
Malaria,Private,Kinnigoli Hospital,15500,Kinnigoli,"Main Road, Kinnigoli - 574150",0824-2293200
Ear Infection,Private,Sai Sanjeevini Hospital Kinnigoli,9000,Kinnigoli,Kinnigoli - 574150,0824-2293300
Ear Infection,Private,KVG Medical College Hospital Sullia,9000,Sullia,"Kurunjibag, Sullia - 574327",08257-232608
Fracture,Private,Srinivasa Hospital Venur,33500,Venur,Venur - 574237,08256-262400
Appendicitis,Private,Prakash Hospital Bantwal,49000,Bantwal,"Main Road, Bantwal - 574219",08255-232800
Dengue,Private,Sahyadri Medical Centre Venur,10500,Venur,Venur - 574237,08256-262300
Fracture,Govt,Primary Health Centre Nanthoor,15000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Jaundice,Govt,Primary Health Centre Ujire,9500,Ujire,"Ujire, Belthangady Taluk - 574240",08256-248011
Ear Infection,Private,Shridhar Hospital Mulki,9000,Mulki,Mulki Junction - 574154,0824-2296300
Hypertension,Private,Vijaya Hospital Belthangady,14000,Belthangady,Belthangady Town - 574214,08256-230700
Kidney Stone,Govt,Primary Health Centre Guthigar,18000,Sullia,"Guthigar, Sullia - 574239",08257-233300
Liver Disease,Private,Canara Hospital Puttur,89000,Puttur,Puttur Main Road - 574201,08251-231500
Liver Disease,Govt,Government Dispensary Moodabidri,44000,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Pregnancy,Govt,Primary Health Centre Kateel,21000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
UTI,Govt,Primary Health Centre Panambur,3000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Skin Disease,Govt,Government Hospital Venur,2000,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Appendicitis,Private,Alva's Health Centre Moodabidri,59500,Moodabidri,"Alva's Education Foundation, Moodabidri - 574227",0824-2386500
Dengue,Private,Sahyadri Hospital Vittal,11500,Vittal,"NH 75, Vittal - 574243",08255-231400
Diabetes,Private,Jain Hospital Moodabidri,12000,Moodabidri,"Temple Road, Moodabidri - 574227",0824-2386700
Asthma,Private,Sahyadri Clinic Bellare,21000,Bellare,Bellare - 574212,08257-261400
Fracture,Govt,Primary Health Centre Vittal,13500,Bantwal,"Vittal, Bantwal Taluk - 574243",08255-231011
Gastroenteritis,Govt,Primary Health Centre Kateel,5000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Eye Disease,Govt,Taluk Hospital Kadaba,8500,Kadaba,"Hospital Road, Kadaba - 574221",08257-265011
Appendicitis,Govt,Community Health Sub-Centre Kinnigoli,20500,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Tuberculosis,Private,Shanthi Hospital Gurupura,29000,Gurupura,Gurupura - 575016,0824-2284400
Kidney Stone,Private,Unity Hospital Mangaluru,32500,Mangaluru,"Mangaladevi Road, Mangaluru - 575003",0824-2222222
Gastroenteritis,Govt,Primary Health Centre Gurupura,6500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Tuberculosis,Govt,Primary Health Centre Uppinangady,6000,Uppinangady,Uppinangady Town - 574241,08251-232100
Asthma,Private,KVG Medical College & Hospital Puttur Road,13000,Puttur,"Sullia Road, Puttur - 574201",08251-230600
Gastroenteritis,Private,Vijaya Hospital Belthangady,14500,Belthangady,Belthangady Town - 574214,08256-230700
Diabetes,Govt,Government Dispensary Moodabidri,7500,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Surgery,Private,Shri Dharmasthala Manjunatheshwara Hospital Dharmasthala,69500,Belthangady,Dharmasthala - 574216,08256-277222
Liver Disease,Govt,Community Health Centre Puttur,27500,Puttur,Puttur Town - 574201,08251-230300
Kidney Stone,Private,Sri Durga Hospital Bantwal,40500,Bantwal,"BC Road, Bantwal - 574219",08255-233001
Ear Infection,Private,Sri Sai Hospital Nanthoor,9500,Nanthoor,Nanthoor - 574219,08255-239400
Tuberculosis,Private,SDM Ayurvedic Hospital Dharmasthala,28500,Dharmasthala,Dharmasthala - 574216,08256-277333
Ear Infection,Govt,Primary Health Centre Nanthoor,3000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Thyroid Disorder,Govt,Government Dispensary Bellare,7500,Bellare,Bellare Town - 574212,08257-261100
Fracture,Govt,Community Health Centre Sullia,14000,Sullia,Sullia Town - 574239,08257-233100
Pneumonia,Govt,Taluk Hospital Sullia,10500,Sullia,"Hospital Road, Sullia - 574239",08257-233010
Tuberculosis,Private,Vijaya Hospital Belthangady,16000,Belthangady,Belthangady Town - 574214,08256-230700
Kidney Stone,Private,Mahatma Gandhi Memorial Hospital Belthangady,43500,Belthangady,Belthangady Main Road - 574214,08256-230500
Typhoid,Govt,Primary Health Centre Panemangalore,5000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Eye Disease,Private,Nelyadi Clinic & Hospital,26000,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Jaundice,Private,Durgaparameshwari Hospital Kateel,22000,Kateel,"Temple Road, Kateel - 574272",0824-2298200
Skin Disease,Govt,Taluk Hospital Sullia,3500,Sullia,"Hospital Road, Sullia - 574239",08257-233010
Typhoid,Private,Srinivasa Hospital Kateel,11500,Kateel,Kateel - 574272,0824-2298400
Typhoid,Govt,Primary Health Centre Vittal,4500,Vittal,"Vittal Town, Bantwal Taluk - 574243",08255-231011
Diabetes,Govt,Primary Health Centre Bellare,8500,Bellare,"Bellare, Sullia Taluk - 574212",08257-261011
Cancer,Private,Samanvaya Hospital Bantwal,163000,Bantwal,Bantwal Town Road - 574219,08255-232700
UTI,Govt,Community Health Centre Ullal,3000,Ullal,Ullal Main Road - 574146,0824-2279100
Tuberculosis,Govt,Primary Health Centre Ullal,5000,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Pregnancy,Govt,Community Health Centre Gurupura,19000,Gurupura,Gurupura - 575016,0824-2284100
Jaundice,Govt,Primary Health Centre Panemangalore,6000,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Pregnancy,Private,Sahyadri Clinic Bellare,65500,Bellare,Bellare - 574212,08257-261400
Hypertension,Govt,Primary Health Centre Nelyadi,5000,Nelyadi,"Nelyadi, Kadaba Taluk - 574221",08257-265201
Fracture,Private,Srinivasa Clinic Panemangalore,35500,Panemangalore,Panemangalore - 574236,0824-2239300
Hypertension,Govt,Primary Health Centre Gurupura,7500,Gurupura,"Gurupura, Mangaluru Taluk - 575016",0824-2284011
Skin Disease,Private,Vijaya Hospital Belthangady,9000,Belthangady,Belthangady Town - 574214,08256-230700
Kidney Stone,Govt,Government Dispensary Moodabidri,17000,Moodabidri,"Main Road, Moodabidri - 574227",0824-2386200
Jaundice,Private,Coastal Hospital Kinnigoli,24500,Kinnigoli,Kinnigoli - 574150,0824-2293400
Fracture,Private,Srinivasa Hospital Mulki,25500,Mulki,"Main Road, Mulki - 574154",0824-2296200
Diabetes,Govt,Primary Health Centre Ullal,9500,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Pregnancy,Private,Sahyadri Hospital Sullia,52500,Sullia,Sullia - 574239,08257-234200
Heart Disease,Private,Prashanth Hospital Puttur,158000,Puttur,"Town Hall Road, Puttur - 574201",08251-231200
Liver Disease,Govt,Government Hospital Venur,40500,Belthangady,"Venur, Belthangady Taluk - 574237",08256-230300
Kidney Stone,Govt,Community Health Centre Gurupura,20000,Gurupura,Gurupura - 575016,0824-2284100
Thyroid Disorder,Private,Shanthi Hospital Kadaba,15500,Kadaba,Kadaba Town - 574221,08257-265700
Liver Disease,Govt,Primary Health Centre Dharmasthala,27000,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Surgery,Govt,Primary Health Centre Nanthoor,49000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Fever,Govt,Primary Health Centre Dharmasthala,1500,Dharmasthala,Dharmasthala Town - 574216,08256-277100
Jaundice,Govt,Primary Health Centre Nelyadi,9500,Kadaba,"Nelyadi, Kadaba - 574221",08257-265200
Hypertension,Private,Mahalasa Hospital Nelyadi,16500,Nelyadi,Nelyadi - 574221,08257-265900
Asthma,Govt,Government Hospital Ullal,7000,Ullal,"Ullal Town, Dakshina Kannada - 574146",0824-2279011
Tuberculosis,Private,Dawa Hospital Ullal,16500,Ullal,Ullal Town Road - 574146,0824-2279200
Anaemia,Govt,Government Hospital Vittal,3000,Vittal,"Main Road, Vittal - 574243",08255-231100
Appendicitis,Private,Bhagavathi Hospital Belthangady,60000,Belthangady,Belthangady - 574214,08256-230600
Asthma,Private,Netravathi Hospital Uppinangady,20000,Uppinangady,"Main Road, Uppinangady - 574241",08251-232200
Malaria,Govt,Primary Health Centre Kinnigoli,4500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Kidney Stone,Govt,Community Health Sub-Centre Kinnigoli,17000,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Anaemia,Govt,Government Dispensary Nanthoor,3000,Nanthoor,Nanthoor - 574219,08255-239100
Gastroenteritis,Govt,Primary Health Centre Panambur,6500,Surathkal,"Panambur, Mangaluru - 575010",0824-2408001
Appendicitis,Private,Sealand Hospital Ullal,51000,Ullal,"Someshwara, Ullal - 574146",0824-2278001
Dengue,Govt,Community Health Centre Kadaba,7000,Kadaba,Kadaba Town - 574221,08257-265100
Gastroenteritis,Private,SDM Medical College Hospital Ujire,13500,Ujire,"SDM Campus, Ujire - 574240",08256-248500
Ear Infection,Private,Sahyadri Clinic Bellare,11500,Bellare,Bellare - 574212,08257-261400
UTI,Govt,Community Health Centre Kadaba,5500,Kadaba,Kadaba Town - 574221,08257-265100
Ear Infection,Private,Bhagavathi Hospital Belthangady,11500,Belthangady,Belthangady - 574214,08256-230600
Appendicitis,Govt,Primary Health Centre Ullal,32500,Ullal,"Chitrapu, Ullal - 574146",0824-2279022
Cancer,Govt,Primary Health Centre Naravi,101500,Belthangady,"Naravi, Belthangady - 574214",08256-230200
Surgery,Private,Kateel Medical Centre,77000,Kateel,"Main Road, Kateel - 574272",0824-2298300
Anaemia,Govt,Government Dispensary Bellare,2500,Bellare,Bellare Town - 574212,08257-261100
Kidney Stone,Private,Jain Hospital Moodabidri,37500,Moodabidri,"Temple Road, Moodabidri - 574227",0824-2386700
Gastroenteritis,Govt,Community Health Centre Vamanapadavu,6000,Bantwal,"Vamanapadavu, Bantwal - 574241",08255-232200
Typhoid,Govt,Primary Health Centre Naravi,4500,Belthangady,"Naravi, Belthangady - 574214",08256-230200
Hypertension,Private,Sahyadri Clinic Bellare,16500,Bellare,Bellare - 574212,08257-261400
Pregnancy,Private,Srinivasa Hospital Kateel,66000,Kateel,Kateel - 574272,0824-2298400
Appendicitis,Govt,Taluk Hospital Kadaba,18000,Kadaba,"Hospital Road, Kadaba - 574221",08257-265011
Pneumonia,Govt,Primary Health Centre Kinnigoli,10500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Jaundice,Govt,Port Trust Hospital Panambur,7500,Panambur,"NMPT Colony, Panambur - 575010",0824-2407700
Skin Disease,Private,Sri Sai Hospital Nanthoor,5500,Nanthoor,Nanthoor - 574219,08255-239400
Diabetes,Private,Shridhar Hospital Nanthoor,11000,Nanthoor,"Main Road, Nanthoor - 574219",08255-239200
Diabetes,Private,SDM Ayurvedic Hospital Dharmasthala,18000,Dharmasthala,Dharmasthala - 574216,08256-277333
Appendicitis,Private,Sahyadri Medical Centre Venur,46000,Venur,Venur - 574237,08256-262300
Liver Disease,Private,Srinivas Hospital Surathkal,67500,Surathkal,"Surathkal Main Road, Mangaluru - 575014",0824-2474500
Eye Disease,Private,Venur Hospital,26500,Venur,"Main Road, Venur - 574237",08256-262200
Anaemia,Private,Shridhar Hospital Nanthoor,12000,Nanthoor,"Main Road, Nanthoor - 574219",08255-239200
UTI,Private,Sri Krishna Hospital Sullia,12500,Sullia,Sullia Main Road - 574239,08257-234400
Diabetes,Private,Coastal Hospital Kinnigoli,12000,Kinnigoli,Kinnigoli - 574150,0824-2293400
Fever,Govt,Primary Health Centre Panemangalore,2500,Panemangalore,"Panemangalore, DK - 574236",0824-2239011
Dengue,Govt,Government Hospital Surathkal,6000,Surathkal,"Surathkal, Mangaluru - 575014",0824-2474133
Dengue,Govt,Government Dispensary Nanthoor,5000,Nanthoor,Nanthoor - 574219,08255-239100
Ear Infection,Private,Shree Durgaparameshwari Hospital BC Road,8000,Bantwal,"BC Road, Bantwal - 574219",08255-232600
Surgery,Private,Sahyadri Hospital Vittal,87000,Vittal,"NH 75, Vittal - 574243",08255-231400
Pneumonia,Private,Srinivasa Hospital Kateel,23500,Kateel,Kateel - 574272,0824-2298400
Hypertension,Private,Shree Hospital Uppinangady,16500,Uppinangady,Uppinangady - 574241,08251-232300
Ear Infection,Private,Coastal Care Hospital Panambur,8500,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Asthma,Govt,Community Health Sub-Centre Kinnigoli,8500,Kinnigoli,Kinnigoli Town - 574150,0824-2293100
Jaundice,Private,Sai Sanjeevini Hospital Gurupura,18500,Gurupura,Gurupura - 575016,0824-2284300
Hypertension,Govt,Primary Health Centre Nelyadi,6000,Kadaba,"Nelyadi, Kadaba - 574221",08257-265200
Skin Disease,Private,Venur Hospital,11500,Venur,"Main Road, Venur - 574237",08256-262200
Thyroid Disorder,Private,Vinayaka Hospital Sullia,15000,Sullia,Sullia - 574239,08257-234300
Tuberculosis,Private,Coastal Hospital Surathkal,30000,Surathkal,"Surathkal Road, Mangaluru - 575014",0824-2478002
Dengue,Govt,Government Ayurvedic Hospital Mangaluru,5500,Mangaluru,"Court Road, Mangaluru - 575001",0824-2426555
Cancer,Private,Ullal Nursing Home,202500,Ullal,"Main Road, Ullal - 574146",0824-2279400
Skin Disease,Private,Durgaparameshwari Hospital Subramanya,7500,Subramanya,Subramanya - 574238,08257-258300
Ear Infection,Govt,Community Health Sub-Centre Panemangalore,2500,Panemangalore,Panemangalore - 574236,0824-2239100
Gastroenteritis,Govt,Primary Health Centre Nanthoor,4000,Nanthoor,"Nanthoor, Bantwal Taluk - 574219",08255-239011
Cancer,Private,Coastal Care Hospital Panambur,199000,Panambur,Baikampady Industrial Area - 575011,0824-2408400
Kidney Stone,Govt,Primary Health Centre Panambur,17000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
Kidney Stone,Private,Panemangalore Hospital,41000,Panemangalore,"Main Road, Panemangalore - 574236",0824-2239200
UTI,Private,Nelyadi Clinic & Hospital,7500,Nelyadi,"Main Road, Nelyadi - 574221",08257-265800
Asthma,Govt,Primary Health Centre Naravi,7500,Belthangady,"Naravi, Belthangady - 574214",08256-230200
Malaria,Govt,Primary Health Centre Panambur,5500,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
UTI,Govt,Primary Health Centre Kinnigoli,4500,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Surgery,Private,Indiana Hospital & Heart Institute,69500,Mangaluru,"Pumpwell Circle, Kankanady, Mangaluru - 575002",0824-2457799
Surgery,Govt,Community Health Centre Ullal,35000,Ullal,Ullal Main Road - 574146,0824-2279100
Fever,Private,Kateel Medical Centre,6000,Kateel,"Main Road, Kateel - 574272",0824-2298300
Ear Infection,Govt,Primary Health Centre Kinnigoli,3000,Kinnigoli,"Kinnigoli, Mangaluru Taluk - 574150",0824-2293011
Gastroenteritis,Govt,Urban Primary Health Centre Bunder,5500,Mangaluru,"Bunder, Mangaluru - 575001",0824-2440101
Thyroid Disorder,Private,Canara Hospital Puttur,15500,Puttur,Puttur Main Road - 574201,08251-231500
Pneumonia,Govt,Urban Primary Health Centre Kavoor,9000,Mangaluru,"Kavoor, Mangaluru - 574143",0824-2285033
Typhoid,Govt,Government Hospital Mulki,5000,Mulki,"Town Road, Mulki - 574154",0824-2296022
Pregnancy,Govt,Community Health Sub-Centre Panemangalore,17500,Panemangalore,Panemangalore - 574236,0824-2239100
Anaemia,Govt,Taluk Hospital Moodabidri,3500,Moodabidri,"Hospital Road, Moodabidri - 574227",0824-2386011
Jaundice,Govt,Primary Health Centre Kateel,9000,Kateel,"Kateel, Dakshina Kannada - 574272",0824-2298011
Thyroid Disorder,Private,Shree Kshethra Dharmasthala RDPR Hospital,11000,Dharmasthala,Dharmasthala - 574216,08256-277444
Typhoid,Private,Venur Hospital,9000,Venur,"Main Road, Venur - 574237",08256-262200
Eye Disease,Govt,Primary Health Centre Panambur,13000,Panambur,"Panambur Beach Road, Mangaluru - 575010",0824-2408001
